A Classical Fuzzy Approach for Software Effort Estimation on Machine Learning Technique,December 2011,"S. Malathi, S. Sridhar"
Scenario trees and policy selection for multistage stochastic programming using machine learning,December 2011,"Boris Defourny, Damien Ernst, Louis Wehenkel"
Finding Density Functionals with Machine Learning,December 2011,"John C. Snyder, Matthias Rupp, Katja Hansen, Klaus-Robert Müller, Kieron Burke"
Scikit-learn: Machine Learning in Python,January 2012,"Fabian Pedregosa, Gaël Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Andreas Müller, Joel Nothman, Gilles Louppe, Peter Prettenhofer, Ron Weiss, Vincent Dubourg, Jake Vanderplas, Alexandre Passos, David Cournapeau, Matthieu Brucher, Matthieu Perrot, Édouard Duchesnay"
rFerns: An Implementation of the Random Ferns Method for General-Purpose Machine Learning,February 2012,Miron B. Kursa
Nonparametric Divergence Estimation with Applications to Machine Learning on Distributions,February 2012,"Barnabas Poczos, Liang Xiong, Jeff Schneider"
MAV Stabilization using Machine Learning and Onboard Sensors,February 2012,"Jason Yosinski, Cooper Bills"
Learning from Distributions via Support Measure Machines,February 2012,"Krikamol Muandet, Kenji Fukumizu, Francesco Dinuzzo, Bernhard Schölkopf"
mlpy: Machine Learning Python,February 2012,"Davide Albanese, Roberto Visintainer, Stefano Merler, Samantha Riccadonna, Giuseppe Jurman, Cesare Furlanello"
Scaling Datalog for Machine Learning on Big Data,March 2012,"Yingyi Bu, Vinayak Borkar, Michael J. Carey, Joshua Rosen, Neoklis Polyzotis, Tyson Condie, Markus Weimer, Raghu Ramakrishnan"
"Learning Social Intelligence and the Turing Test - why an ""out-of-the-box"" Turing Machine will not pass the Turing Test",March 2012,"Bruce Edmonds, Carlos Gershenson"
Learning Feature Hierarchies with Centered Deep Boltzmann Machines,March 2012,"Grégoire Montavon, Klaus-Robert Müller"
Arabic Keyphrase Extraction using Linguistic knowledge and Machine Learning Techniques,March 2012,"Tarek El-shishtawy, Abdulwahab Al-sammak"
Distributed GraphLab: A Framework for Machine Learning in the Cloud,April 2012,"Yucheng Low, Joseph Gonzalez, Aapo Kyrola, Danny Bickson, Carlos Guestrin, Joseph M. Hellerstein"
Malware Detection Module using Machine Learning Algorithms to Assist in Centralized Security in Enterprise Networks,May 2012,"Priyank Singhal, Nataasha Raul"
Finding Important Genes from High-Dimensional Data: An Appraisal of Statistical Tests and Machine-Learning Approaches,May 2012,"Chamont Wang, Jana Gevertz, Chaur-Chin Chen, Leonardo Auslender"
A Machine Learning Approach For Opinion Holder Extraction In Arabic Language,June 2012,"Mohamed Elarnaoty, Samir AbdelRahman, Aly Fahmy"
Practical Bayesian Optimization of Machine Learning Algorithms,June 2012,"Jasper Snoek, Hugo Larochelle, Ryan P. Adams"
Machine Learning that Matters,June 2012,Kiri Wagstaff
Isoelastic Agents and Wealth Updates in Machine Learning Markets,June 2012,"Amos Storkey, Jono Millin, Krzysztof Geras"
Efficient Prediction of DNA-Binding Proteins Using Machine Learning,July 2012,"Sokyna Qatawneh, Afaf Alneaimi, Thamer Rawashdeh, Mmohammad Muhairat, Rami Qahwaji, Stan Ipson"
Proceedings of the 29th International Conference on Machine Learning (ICML-12),July 2012,"John Langford, Joelle Pineau"
Determinantal point processes for machine learning,July 2012,"Alex Kulesza, Ben Taskar"
"Comment on ""Fast and Accurate Modeling of Molecular Atomization Energies with Machine Learning""",August 2012,Jonathan E. Moussa
Distance Metric Learning for Kernel Machines,August 2012,"Zhixiang Xu, Kilian Q. Weinberger, Olivier Chapelle"
Common Mistakes when Applying Computational Intelligence and Machine Learning to Stock Market modelling,August 2012,"E. Hurwitz, T. Marwala"
Proof of a Combinatorial Conjecture Coming from the PAC-Bayesian Machine Learning Theory,September 2012,Malik Younsi
Using Machine Learning for Discovery in Synoptic Survey Imaging,September 2012,"Henrik Brink, Joseph W. Richards, Dovi Poznanski, Joshua S. Bloom, John Rice, Sahand Negahban, Martin Wainwright"
Gamma-Ray Active Galactic Nucleus Type through Machine-Learning Algorithms,September 2012,"T. Hassan, N. Mirabal, J. L. Contreras, I. Oya"
Wikipedia Vandalism Detection Through Machine Learning: Feature Review and New Proposals: Lab Report for PAN at CLEF 2010,October 2012,Santiago M. Mola-Velasco
MLPACK: A Scalable C++ Machine Learning Library,October 2012,"Ryan R. Curtin, James R. Cline, N. P. Slagle, William B. March, Parikshit Ram, Nishant A. Mehta, Alexander G. Gray"
Adaptive Layered Approach using Machine Learning Techniques with Gain Ratio for Intrusion Detection Systems,October 2012,"Heba Ezzat Ibrahim, Sherif M. Badr, Mohamed A. Shaheen"
Lyapunov Method Based Online Identification of Nonlinear Systems Using Extreme Learning Machines,November 2012,"Vijay Manikandan Janakiraman, Dennis Assanis"
Machine learning prediction of cancer cell sensitivity to drugs based on genomic and chemical properties,December 2012,"Michael P. Menden, Francesco Iorio, Mathew Garnett, Ultan McDermott, Cyril Benes, Pedro J. Ballester, Julio Saez-Rodriguez"
Making Early Predictions of the Accuracy of Machine Learning Applications,December 2012,"J. E. Smith, P. Caleb-Solly, M. A. Tahir, D. Sannen, H. van-Brussel"
Boltzmann Machine Learning with the Latent Maximum Entropy Principle,December 2012,"Shaojun Wang, Dale Schuurmans, Fuchun Peng, Yunxin Zhao"
Machine Learning in Proof General: Interfacing Interfaces,December 2012,"Ekaterina Komendantskaya, Jónathan Heras, Gudmund Grov"
Feature vector regularization in machine learning,December 2012,"Yue Fan, Louise Raphael, Mark Kon"
Strategy for quantum algorithm design assisted by machine learning,January 2013,"Jeongho Bang, Junghee Ryu, Seokwon Yoo, Marcin Pawlowski, Jinhyoung Lee"
BigDB: Automatic Machine Learning Optimizer,January 2013,"Anna Pyayt, Michael Gubanov"
Fano schemes of generic intersections and machine learning,January 2013,"Franz Király, Paul Larsen"
Applying machine learning techniques to improve user acceptance on ubiquitous environement,January 2013,Djallel Bouneffouf
Mixture Representations for Inference and Learning in Boltzmann Machines,January 2013,"Neil D. Lawrence, Christopher M. Bishop, Michael I. Jordan"
Understanding Boltzmann Machine and Deep Learning via A Confident Information First Principle,February 2013,"Xiaozhao Zhao, Yuexian Hou, Qian Yu, Dawei Song, Wenjie Li"
Machine learning for predictive condensed-phase simulation,February 2013,"Albert P. Bartok, Michael J. Gillan, Frederick R. Manby, Gabor Csanyi"
A First Look at creating mock catalogs with machine learning techniques,March 2013,"Xiaoying Xu, Shirley Ho, Hy Trac, Jeff Schneider, Barnabas Poczos, Michelle Ntampaka"
Revisiting the Nystrom Method for Improved Large-Scale Machine Learning,March 2013,"Alex Gittens, Michael W. Mahoney"
Machine Learning for Bioclimatic Modelling,March 2013,Maumita Bhattacharya
Iterative MapReduce for Large Scale Machine Learning,March 2013,"Joshua Rosen, Neoklis Polyzotis, Vinayak Borkar, Yingyi Bu, Michael J. Carey, Markus Weimer, Tyson Condie, Raghu Ramakrishnan"
Statistical Model Building Machine Learning and the Ah-Ha Moment,March 2013,Grace Wahba
A quantum speedup in machine learning: Finding a N-bit Boolean function for a classification,March 2013,"Seokwon Yoo, Jeongho Bang, Changhyoup Lee, Jinhyoung Lee"
On Sparsity Inducing Regularization Methods for Machine Learning,March 2013,"Andreas Argyriou, Luca Baldassarre, Charles A. Micchelli, Massimiliano Pontil"
Machine learning of hierarchical clustering to segment 2D and 3D images,March 2013,"Juan Nunez-Iglesias, Ryan Kennedy, Toufiq Parag, Jianbo Shi, Dmitri B. Chklovskii"
Application of machine learning algorithms to the study of noise artifacts in gravitational-wave data,March 2013,"Rahul Biswas, Lindy Blackburn, Junwei Cao, Reed Essick, Kari Alison Hodge, Erotokritos Katsavounidis, Kyungmin Kim, Young-Min Kim, Eric-Olivier Le Bigot, Chang-Hwan Lee, John J. Oh, Sang Hoon Oh, Edwin J. Son, Ruslan Vaulin, Xiaoge Wang, Tao Ye"
Relevance As a Metric for Evaluating Machine Learning Algorithms,March 2013,"Aravind Kota Gopalakrishna, Tanir Ozcelebi, Antonio Liotta, Johan J. Lukkien"
Machine Learning Clustering and Polymorphy,April 2013,"Stephen Jose Hanson, Malcolm Bauer"
Qualitative detection of oil adulteration with machine learning approaches,May 2013,"Xiao-Bo Jin, Qiang Lu, Feng Wang, Quan-gong Huo"
Conditions for Convergence in Regularized Machine Learning Objectives,May 2013,"Patrick Hop, Xinghao Pan"
Machine learning on images using a string-distance,May 2013,"Uzi Chester, Joel Ratsaby"
Machine Learning of Molecular Electronic Properties in Chemical Compound Space,May 2013,"Grégoire Montavon, Matthias Rupp, Vivekanand Gobre, Alvaro Vazquez-Mayagoitia, Katja Hansen, Alexandre Tkatchenko, Klaus-Robert Müller, O. Anatole von Lilienfeld"
Deep Learning using Linear Support Vector Machines,June 2013,Yichuan Tang
Orbital-free Bond Breaking via Machine Learning,June 2013,"John C. Snyder, Matthias Rupp, Katja Hansen, Leo Blooston, Klaus-Robert Müller, Kieron Burke"
Bioclimating Modelling: A Machine Learning Perspective,June 2013,Maumita Bhattacharya
Hacking Smart Machines with Smarter Ones: How to Extract Meaningful Data from Machine Learning Classifiers,June 2013,"Giuseppe Ateniese, Giovanni Felici, Luigi V. Mancini, Angelo Spognardi, Antonio Villani, Domenico Vitali"
Table of Content detection using Machine Learning,June 2013,"Rachana Parikh, Avani R. Vasant"
Quantum algorithms for supervised and unsupervised machine learning,July 2013,"Seth Lloyd, Masoud Mohseni, Patrick Rebentrost"
Challenges in Representation Learning: A report on three machine learning contests,July 2013,"Ian J. Goodfellow, Dumitru Erhan, Pierre Luc Carrier, Aaron Courville, Mehdi Mirza, Ben Hamner, Will Cukierski, Yichuan Tang, David Thaler, Dong-Hyun Lee, Yingbo Zhou, Chetan Ramaiah, Fangxiang Feng, Ruifan Li, Xiaojie Wang, Dimitris Athanasakis, John Shawe-Taylor, Maxim Milakov, John Park, Radu Ionescu, Marius Popescu, Cristian Grozea, James Bergstra, Jingjing Xie, Lukasz Romaszko , et al. (3 additional authors not shown)"
How to represent crystal structures for machine learning: towards fast prediction of electronic properties,July 2013,"K. T. Schütt, H. Glawe, F. Brockherde, A. Sanna, K. R. Müller, E. K. U. Gross"
Fourier series of atomic radial distribution functions: A molecular fingerprint for machine learning models of quantum chemical properties,July 2013,"O. Anatole von Lilienfeld, Raghunathan Ramakrishnan, Matthias Rupp, Aaron Knoll"
A Comprehensive Evaluation of Machine Learning Techniques for Cancer Class Prediction Based on Microarray Data,July 2013,"Khalid Raza, Atif N Hasan"
A Review of Machine Learning based Anomaly Detection Techniques,July 2013,"Harjinder Kaur, Gurpreet Singh, Jaspreet Minhas"
Measure Transformer Semantics for Bayesian Machine Learning,August 2013,"Johannes Borgström, Andrew D Gordon, Michael Greenberg, James Margetson, Jurgen Van Gael"
Collective Mind: cleaning up the research and experimentation mess in computer engineering using crowdsourcing big data and machine learning,August 2013,Grigori Fursin
Stochastic Optimization for Machine Learning,August 2013,Andrew Cotter
"Comment on ""robustness and regularization of support vector machines"" by H. Xu et al. (Journal of Machine Learning Research vol. 10 pp. 1485-1510 2009 arXiv:0803.3490)",August 2013,"Yahya Forghani, Hadi Sadoghi Yazdi"
Pylearn2: a machine learning research library,August 2013,"Ian J. Goodfellow, David Warde-Farley, Pascal Lamblin, Vincent Dumoulin, Mehdi Mirza, Razvan Pascanu, James Bergstra, Frédéric Bastien, Yoshua Bengio"
Online and stochastic Douglas-Rachford splitting method for large scale machine learning,August 2013,"Ziqiang Shi, Rujie Liu"
Non-Asymptotic Convergence Analysis of Inexact Gradient Methods for Machine Learning Without Strong Convexity,September 2013,Anthony Man-Cho So
API design for machine learning software: experiences from the scikit-learn project,September 2013,"Lars Buitinck, Gilles Louppe, Mathieu Blondel, Fabian Pedregosa, Andreas Mueller, Olivier Grisel, Vlad Niculae, Peter Prettenhofer, Alexandre Gramfort, Jaques Grobler, Robert Layton, Jake Vanderplas, Arnaud Joly, Brian Holt, Gaël Varoquaux"
SKYNET: an efficient and robust neural network training tool for machine learning in astronomy,September 2013,"Philip Graff, Farhan Feroz, Michael P. Hobson, Anthony N. Lasenby"
A Comparism of the Performance of Supervised and Unsupervised Machine Learning Techniques in evolving Awale/Mancala/Ayo Game Player,September 2013,"O. A. Randle, O. O. Ogunduyile, T. Zuva, N. A. Fashola"
Search for carbon stars and DZ white dwarfs in SDSS spectra survey through machine learning,September 2013,"Jianmin Si, Ali Luo, Yinbi Li, Jiannan Zhang, Peng Wei, Yihong Wu, Fuchao Wu, Yongheng Zhao"
A Metric-learning based framework for Support Vector Machines and Multiple Kernel Learning,September 2013,"Huyen Do, Alexandros Kalousis"
Feature Learning with Gaussian Restricted Boltzmann Machine for Robust Speech Recognition,September 2013,"Xin Zheng, Zhiyong Wu, Helen Meng, Weifeng Li, Lianhong Cai"
Predicate Logic as a Modeling Language: Modeling and Solving some Machine Learning and Data Mining Problems with IDP3,September 2013,"Maurice Bruynooghe, Hendrik Blockeel, Bart Bogaerts, Broes De Cat, Stef De Pooter, Joachim Jansen, Anthony Labarre, Jan Ramon, Marc Denecker, Sicco Verwer"
Optimal Hybrid Channel Allocation:Based On Machine Learning Algorithms,September 2013,"K Viswanadh, Dr. G Rama Murthy"
Contraction Principle based Robust Iterative Algorithms for Machine Learning,October 2013,"Rangeet Mitra, Amit Kumar Mishra"
Machine learning with systematic density-functional theory calculations: Application to melting temperatures of single and binary component solids,October 2013,"Atsuto Seko, Tomoya Maekawa, Koji Tsuda, Isao Tanaka"
Photometric classification of emission line galaxies with Machine Learning methods,October 2013,"Stefano Cavuoti, Massimo Brescia, Raffaele D'Abrusco, Giuseppe Longo, Maurizio Paolillo"
An Extreme Learning Machine Approach to Predicting Near Chaotic HCCI Combustion Phasing in Real-Time,October 2013,"Adam Vaughan, Stanislav V. Bohac"
Predicting college basketball match outcomes using machine learning techniques: some results and lessons learned,October 2013,"Albrecht Zimmermann, Sruthi Moorthy, Zifan Shi"
The Gaussian Radon Transform and Machine Learning,October 2013,"Irina Holmes, Ambar Sengupta"
Linearized Alternating Direction Method with Parallel Splitting and Adaptive Penalty for Separable Convex Programs in Machine Learning,October 2013,"Zhouchen Lin, Risheng Liu, Huan Li"
MLI: An API for Distributed Machine Learning,October 2013,"Evan R. Sparks, Ameet Talwalkar, Virginia Smith, Jey Kottalam, Xinghao Pan, Joseph Gonzalez, Michael J. Franklin, Michael I. Jordan, Tim Kraska"
Randomized co-training: from cortical neurons to machine learning and back again,October 2013,David Balduzzi
Sampling Based Approaches to Handle Imbalances in Network Traffic Dataset for Machine Learning Techniques,November 2013,"Raman Singh, Harish Kumar, R. K. Singla"
Attractor Control Using Machine Learning,November 2013,"Thomas Duriez, Vladimir Parezanovic, Bernd R. Noack, Laurent Cordier, Marc Segond, Markus Abel"
Image forgery detection based on the fusion of machine learning and block-matching methods,November 2013,"Davide Cozzolino, Diego Gragnaniello, Luisa Verdoliva"
Use of the C4.5 machine learning algorithm to test a clinical guideline-based decision support system,December 2013,"Jean-Baptiste Lamy, Anis Ellini, Vahid Ebrahiminia, Jean-Daniel Zucker, Hector Falcoff, Alain Venot"
Discovery of Proteomics based on Machine learning,December 2013,"Biao He, Baochang Zhang, Yan Fu"
Bayesian machine learning via category theory,December 2013,"Jared Culbertson, Kirk Sturtz"
bartMachine: Machine Learning with Bayesian Additive Regression Trees,December 2013,"Adam Kapelner, Justin Bleich"
Machine Learning Techniques for Intrusion Detection,December 2013,"Mahdi Zamani, Mahnush Movahedi"
Automated Classification of L/R Hand Movement EEG Signals using Advanced Feature Extraction and Machine Learning,December 2013,"Mohammad H. Alomari, Aya Samaha, Khaled AlKamha"
Parkinson's Disease Motor Symptoms in Machine Learning: A Review,December 2013,"Claas Ahlrichs, Michael Lawo"
A Methodology for Player Modeling based on Machine Learning,December 2013,Marlos C. Machado
Search for gamma-ray-emitting active galactic nuclei in the Fermi-LAT unassociated sample using machine learning,December 2013,"M. Doert, M. Errando"
Structure-Aware Dynamic Scheduler for Parallel Machine Learning,December 2013,"Seunghak Lee, Jin Kyu Kim, Qirong Ho, Garth A. Gibson, Eric P. Xing"
Subjectivity Classification using Machine Learning Techniques for Mining Feature-Opinion Pairs from Web Opinion Sources,December 2013,Ahmad Kamal
Petuum: A New Platform for Distributed Machine Learning on Big Data,December 2013,"Eric P. Xing, Qirong Ho, Wei Dai, Jin Kyu Kim, Jinliang Wei, Seunghak Lee, Xun Zheng, Pengtao Xie, Abhimanu Kumar, Yaoliang Yu"
From Kernel Machines to Ensemble Learning,January 2014,"Chunhua Shen, Fayao Liu"
Stylistic Clusters and the Syrian/South Syrian Tradition of First-Millennium BCE Levantine Ivory Carving: A Machine Learning Approach,January 2014,"Amy Rebecca Gansell, Jan-Willem van de Meent, Sakellarios Zairis, Chris H. Wiggins"
Uncovering low-dimensional miR-based signatures of acute myeloid and lymphoblastic leukemias with a machine-learning-driven network approach,January 2014,"Julián Candia, Srujana Cherukuri, Yin Guo, Kshama A. Doshi, Jayanth R. Banavar, Curt I. Civin, Wolfgang Losert"
Analogical Dissimilarity: Definition Algorithms and Two Experiments in Machine Learning,January 2014,"Laurent Miclet, Sabri Bayoudh, Arnaud Delhay"
Adaptive Stochastic Resource Control: A Machine Learning Approach,January 2014,"Balázs Csanád Csáji, László Monostori"
Anomaly detection in reconstructed quantum states using a machine-learning technique,January 2014,"Satoshi Hara, Takafumi Ono, Ryo Okamoto, Takashi Washio, Shigeki Takeuchi"
Antifragility = Elasticity + Resilience + Machine Learning: Models and Algorithms for Open System Fidelity,January 2014,Vincenzo De Florio
Is Extreme Learning Machine Feasible? A Theoretical Assessment (Part II),January 2014,"Shaobo Lin, Xia Liu, Jian Fang, Zongben Xu"
A Machine Learning Approach for the Identification of Bengali Noun-Noun Compound Multiword Expressions,January 2014,"Vivekananda Gayen, Kamal Sarkar"
Modeling Electronic Quantum Transport with Machine Learning,January 2014,"Alejandro Lopez-Bezanilla, O. Anatole von Lilienfeld"
Machine Learning of Phonologically Conditioned Noun Declensions For Tamil Morphological Generators,February 2014,"K. Rajan, Dr. V. Ramalingam, Dr. M. Ganesan"
Performance Evaluation of Machine Learning Classifiers in Sentiment Mining,February 2014,Vinodhini G Chandrasekaran RM
A Comparative Study of Machine Learning Methods for Verbal Autopsy Text Classification,February 2014,"Samuel Danso, Eric Atwell, Owen Johnson"
Incremental Majorization-Minimization Optimization with Application to Large-Scale Machine Learning,February 2014,Julien Mairal
Machine Learning Methods in the Computational Biology of Cancer,February 2014,Mathukumalli Vidyasagar
Open science in machine learning,February 2014,"Joaquin Vanschoren, Mikio L. Braun, Cheng Soon Ong"
Machine Learning at Scale,February 2014,"Sergei Izrailev, Jeremy M. Stanley"
Bayesian Sample Size Determination of Vibration Signals in Machine Learning Approach to Fault Diagnosis of Roller Bearings,February 2014,"Siddhant Sahu, V. Sugumaran"
A Machine Learning Model for Stock Market Prediction,February 2014,"Osman Hegazy, Omar S. Soliman, Mustafa Abdul Salam"
Multi-period Trading Prediction Markets with Connections to Machine Learning,March 2014,"Jinli Hu, Amos Storkey"
EnsembleSVM: A Library for Ensemble Learning Using Support Vector Machines,March 2014,"Marc Claesen, Frank De Smet, Johan Suykens, Bart De Moor"
The Evolution of Boosting Algorithms - From Machine Learning to Statistical Modelling,March 2014,"Andreas Mayr, Harald Binder, Olaf Gefeller, Matthias Schmid"
Understanding Machine-learned Density Functionals,April 2014,"Li Li, John C. Snyder, Isabelle M. Pelaschier, Jessica Huang, Uma-Naresh Niranjan, Paul Duncan, Matthias Rupp, Klaus-Robert Müller, Kieron Burke"
A Naive Bayes machine learning approach to risk prediction using censored time-to-event data,April 2014,"Julian Wolfson, Sunayan Bandyopadhyay, Mohamed Elidrisi, Gabriela Vazquez-Benitez, Donald Musgrove, Gediminas Adomavicius, Paul Johnson, Patrick O'Connor"
Power System Parameters Forecasting Using Hilbert-Huang Transform and Machine Learning,April 2014,"Victor Kurbatsky, Nikita Tomin, Vadim Spiryaev, Paul Leahy, Denis Sidorov, Alexei Zhukov"
A Networks and Machine Learning Approach to Determine the Best College Coaches of the 20th-21st Centuries,April 2014,"Tian-Shun Jiang, Zachary Polizzi, Christopher Yuan"
ACL2(ml): Machine-Learning for ACL2,April 2014,"Jónathan Heras, Ekaterina Komendantskaya"
Closed-Loop Turbulence Control Using Machine Learning,April 2014,"Thomas Duriez, Vladimir Parezanović, Laurent Cordier, Bernd R. Noack, Joël Delville, Jean-Paul Bonnet, Marc Segond, Markus Abel"
Learning in Repeated Games: Human Versus Machine,April 2014,"Fatimah Ishowo-Oloko, Jacob Crandall, Manuel Cebrian, Sherief Abdallah, Iyad Rahwan"
