Wikipedia Vandalism Detection Through Machine Learning: Feature Review and New Proposals: Lab Report for PAN at CLEF 2010,Oct-12,
MLPACK: A Scalable C++ Machine Learning Library,Oct-12,
Adaptive Layered Approach using Machine Learning Techniques with Gain Ratio for Intrusion Detection Systems,Oct-12,
Lyapunov Method Based Online Identification of Nonlinear Systems Using Extreme Learning Machines,Nov-12,
Machine learning prediction of cancer cell sensitivity to drugs based on genomic and chemical properties,Dec-12,
Making Early Predictions of the Accuracy of Machine Learning Applications,Dec-12,
Boltzmann Machine Learning with the Latent Maximum Entropy Principle,Dec-12,
Machine Learning in Proof General: Interfacing Interfaces,Dec-12,
Feature vector regularization in machine learning,Dec-12,
Strategy for quantum algorithm design assisted by machine learning,Jan-13,
BigDB: Automatic Machine Learning Optimizer,Jan-13,
Fano schemes of generic intersections and machine learning,Jan-13,
Applying machine learning techniques to improve user acceptance on ubiquitous environement,Jan-13,
Mixture Representations for Inference and Learning in Boltzmann Machines,Jan-13,
Understanding Boltzmann Machine and Deep Learning via A Confident Information First Principle,Feb-13,
Machine learning for predictive condensed-phase simulation,Feb-13,
A First Look at creating mock catalogs with machine learning techniques,Mar-13,
Revisiting the Nystrom Method for Improved Large-Scale Machine Learning,Mar-13,
Machine Learning for Bioclimatic Modelling,Mar-13,
Iterative MapReduce for Large Scale Machine Learning,Mar-13,
Statistical Model Building Machine Learning and the Ah-Ha Moment,Mar-13,
A quantum speedup in machine learning: Finding a N-bit Boolean function for a classification,Mar-13,
On Sparsity Inducing Regularization Methods for Machine Learning,Mar-13,
Machine learning of hierarchical clustering to segment 2D and 3D images,Mar-13,
Application of machine learning algorithms to the study of noise artifacts in gravitational-wave data,Mar-13,
Relevance As a Metric for Evaluating Machine Learning Algorithms,Mar-13,
Machine Learning Clustering and Polymorphy,Apr-13,
Qualitative detection of oil adulteration with machine learning approaches,May-13,
Conditions for Convergence in Regularized Machine Learning Objectives,May-13,
Machine learning on images using a string-distance,May-13,
Machine Learning of Molecular Electronic Properties in Chemical Compound Space,May-13,
Deep Learning using Linear Support Vector Machines,Jun-13,
Orbital-free Bond Breaking via Machine Learning,Jun-13,
Bioclimating Modelling: A Machine Learning Perspective,Jun-13,
Hacking Smart Machines with Smarter Ones: How to Extract Meaningful Data from Machine Learning Classifiers,Jun-13,
Table of Content detection using Machine Learning,Jun-13,
Quantum algorithms for supervised and unsupervised machine learning,Jul-13,
Challenges in Representation Learning: A report on three machine learning contests,Jul-13,
How to represent crystal structures for machine learning: towards fast prediction of electronic properties,Jul-13,
Fourier series of atomic radial distribution functions: A molecular fingerprint for machine learning models of quantum chemical properties,Jul-13,
A Comprehensive Evaluation of Machine Learning Techniques for Cancer Class Prediction Based on Microarray Data,Jul-13,
A Review of Machine Learning based Anomaly Detection Techniques,Jul-13,
Measure Transformer Semantics for Bayesian Machine Learning,Aug-13,
Collective Mind: cleaning up the research and experimentation mess in computer engineering using crowdsourcing big data and machine learning,Aug-13,
Stochastic Optimization for Machine Learning,Aug-13,
"Comment on ""robustness and regularization of support vector machines"" by H. Xu et al. (Journal of Machine Learning Research vol. 10 pp. 1485-1510 2009 arXiv:0803.3490)",Aug-13,
Pylearn2: a machine learning research library,Aug-13,
Online and stochastic Douglas-Rachford splitting method for large scale machine learning,Aug-13,
Non-Asymptotic Convergence Analysis of Inexact Gradient Methods for Machine Learning Without Strong Convexity,Sep-13,
API design for machine learning software: experiences from the scikit-learn project,Sep-13,
SKYNET: an efficient and robust neural network training tool for machine learning in astronomy,Sep-13,
A Comparism of the Performance of Supervised and Unsupervised Machine Learning Techniques in evolving Awale/Mancala/Ayo Game Player,Sep-13,
Search for carbon stars and DZ white dwarfs in SDSS spectra survey through machine learning,Sep-13,
A Metric-learning based framework for Support Vector Machines and Multiple Kernel Learning,Sep-13,
Feature Learning with Gaussian Restricted Boltzmann Machine for Robust Speech Recognition,Sep-13,
Predicate Logic as a Modeling Language: Modeling and Solving some Machine Learning and Data Mining Problems with IDP3,Sep-13,
Optimal Hybrid Channel Allocation:Based On Machine Learning Algorithms,Sep-13,
Contraction Principle based Robust Iterative Algorithms for Machine Learning,Oct-13,
Machine learning with systematic density-functional theory calculations: Application to melting temperatures of single and binary component solids,Oct-13,
Photometric classification of emission line galaxies with Machine Learning methods,Oct-13,
An Extreme Learning Machine Approach to Predicting Near Chaotic HCCI Combustion Phasing in Real-Time,Oct-13,
Predicting college basketball match outcomes using machine learning techniques: some results and lessons learned,Oct-13,
The Gaussian Radon Transform and Machine Learning,Oct-13,
Linearized Alternating Direction Method with Parallel Splitting and Adaptive Penalty for Separable Convex Programs in Machine Learning,Oct-13,
MLI: An API for Distributed Machine Learning,Oct-13,
Randomized co-training: from cortical neurons to machine learning and back again,Oct-13,
Sampling Based Approaches to Handle Imbalances in Network Traffic Dataset for Machine Learning Techniques,Nov-13,
Attractor Control Using Machine Learning,Nov-13,
Image forgery detection based on the fusion of machine learning and block-matching methods,Nov-13,
Use of the C4.5 machine learning algorithm to test a clinical guideline-based decision support system,Dec-13,
Discovery of Proteomics based on Machine learning,Dec-13,
Bayesian machine learning via category theory,Dec-13,
bartMachine: Machine Learning with Bayesian Additive Regression Trees,Dec-13,
Machine Learning Techniques for Intrusion Detection,Dec-13,
Automated Classification of L/R Hand Movement EEG Signals using Advanced Feature Extraction and Machine Learning,Dec-13,
Parkinson's Disease Motor Symptoms in Machine Learning: A Review,Dec-13,
A Methodology for Player Modeling based on Machine Learning,Dec-13,
Search for gamma-ray-emitting active galactic nuclei in the Fermi-LAT unassociated sample using machine learning,Dec-13,
Structure-Aware Dynamic Scheduler for Parallel Machine Learning,Dec-13,
Subjectivity Classification using Machine Learning Techniques for Mining Feature-Opinion Pairs from Web Opinion Sources,Dec-13,
Petuum: A New Platform for Distributed Machine Learning on Big Data,Dec-13,
From Kernel Machines to Ensemble Learning,Jan-14,
Stylistic Clusters and the Syrian/South Syrian Tradition of First-Millennium BCE Levantine Ivory Carving: A Machine Learning Approach,Jan-14,
Uncovering low-dimensional miR-based signatures of acute myeloid and lymphoblastic leukemias with a machine-learning-driven network approach,Jan-14,
Analogical Dissimilarity: Definition Algorithms and Two Experiments in Machine Learning,Jan-14,
Adaptive Stochastic Resource Control: A Machine Learning Approach,Jan-14,
Anomaly detection in reconstructed quantum states using a machine-learning technique,Jan-14,
Antifragility = Elasticity + Resilience + Machine Learning: Models and Algorithms for Open System Fidelity,Jan-14,
Is Extreme Learning Machine Feasible? A Theoretical Assessment (Part II),Jan-14,
A Machine Learning Approach for the Identification of Bengali Noun-Noun Compound Multiword Expressions,Jan-14,
Modeling Electronic Quantum Transport with Machine Learning,Jan-14,
Machine Learning of Phonologically Conditioned Noun Declensions For Tamil Morphological Generators,Feb-14,
Performance Evaluation of Machine Learning Classifiers in Sentiment Mining,Feb-14,
A Comparative Study of Machine Learning Methods for Verbal Autopsy Text Classification,Feb-14,
Incremental Majorization-Minimization Optimization with Application to Large-Scale Machine Learning,Feb-14,
Machine Learning Methods in the Computational Biology of Cancer,Feb-14,
Open science in machine learning,Feb-14,
Machine Learning at Scale,Feb-14,
Bayesian Sample Size Determination of Vibration Signals in Machine Learning Approach to Fault Diagnosis of Roller Bearings,Feb-14,
A Machine Learning Model for Stock Market Prediction,Feb-14,
Multi-period Trading Prediction Markets with Connections to Machine Learning,Mar-14,
EnsembleSVM: A Library for Ensemble Learning Using Support Vector Machines,Mar-14,
The Evolution of Boosting Algorithms - From Machine Learning to Statistical Modelling,Mar-14,
Understanding Machine-learned Density Functionals,Apr-14,
A Naive Bayes machine learning approach to risk prediction using censored time-to-event data,Apr-14,
Power System Parameters Forecasting Using Hilbert-Huang Transform and Machine Learning,Apr-14,
A Networks and Machine Learning Approach to Determine the Best College Coaches of the 20th-21st Centuries,Apr-14,
ACL2(ml): Machine-Learning for ACL2,Apr-14,
Closed-Loop Turbulence Control Using Machine Learning,Apr-14,
Learning in Repeated Games: Human Versus Machine,Apr-14,
Applying machine learning to the problem of choosing a heuristic to select the variable ordering for cylindrical algebraic decomposition,Apr-14,
A Comparison of First-order Algorithms for Machine Learning,Apr-14,
Automatic Differentiation of Algorithms for Machine Learning,Apr-14,
Closed-loop separation control using machine learning,May-14,
Application of Machine Learning Techniques in Aquaculture,May-14,
An Investigation of Machine Learning Methods Applied to Structure Prediction in Condensed Matter,May-14Machine Learning in Wireless Sensor Networks: Algorithms Strategies and Applications,May-14
Machine Translation Model based on Non-parallel Corpus and Semi-supervised Transductive Learning,May-14,
Futility Analysis in the Cross-Validation of Machine Learning Models,May-14,
An Easy to Use Repository for Comparing and Improving Machine Learning Algorithm Usage,May-14,
A Game-theoretic Machine Learning Approach for Revenue Maximization in Sponsored Search,Jun-14,
Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,Jun-14,
Machine learning approach for text and document mining,Jun-14,
Memristor models for machine learning,Jun-14,
The Milky Way Project: Leveraging Citizen Science and Machine Learning to Detect Interstellar Bubbles,Jun-14,
Explicit Computation of Input Weights in Extreme Learning Machines,Jun-14,
SPINN: a straightforward machine learning solution to the pulsar candidate selection problem,Jun-14,
Evaluation of Machine Learning Techniques for Green Energy Prediction,Jun-14,
Robust Optimization using Machine Learning for Uncertainty Sets,Jul-14,
An eigenanalysis of data centering in machine learning,Jul-14,
Machine Learning Classification of SDSS Transient Survey Images,Jul-14,
'Almost Sure' Chaotic Properties of Machine Learning Methods,Jul-14,
OpenML: networked science in machine learning,Jul-14,
Automated Machine Learning on Big Data using Stochastic Algorithm Tuning,Jul-14,
Thurstonian Boltzmann Machines: Learning from Multiple Inequalities,Aug-14,
Machine learning for many-body physics: The case of the Anderson impurity model,Aug-14,
LARSEN-ELM: Selective Ensemble of Extreme Learning Machines using LARS for Blended Data,Aug-14,
RMSE-ELM: Recursive Model based Selective Ensemble of Extreme Learning Machines for Robustness Improvement,Aug-14,
GraphLab: A New Framework For Parallel Machine Learning,Aug-14,
Closed-loop control of an experimental mixing layer using machine learning control,Aug-14,
Neural Machine Translation by Jointly Learning to Align and Translate,Sep-14,
Machine Learning Etudes in Astrophysics: Selection Functions for Mock Cluster Catalogs,Sep-14,
Learning Machines Implemented on Non-Deterministic Hardware,Sep-14,
An introduction to quantum machine learning,Sep-14,
A study on effectiveness of extreme learning machine,Sep-14,
A new approach in machine learning,Sep-14,
Machine learning for ultrafast X-ray diffraction patterns on large-scale GPU clusters,Sep-14,
Taking into Account the Differences between Actively and Passively Acquired Data: The Case of Active Learning with Support Vector Machines for Imbalanced Datasets,Sep-14,
Distributed Machine Learning via Sufficient Factor Broadcasting,Sep-14,
Identifying structural flow defects in disordered solids using machine learning methods,Sep-14,
Entanglement-Based Machine Learning on a Quantum Computer,Sep-14,
Combining human and machine learning for morphological analysis of galaxy images,Sep-14,
A Machine Learning Approach for Dynamical Mass Measurements of Galaxy Clusters,Oct-14,
Machine Learning Techniques in Cognitive Radio Networks,Oct-14,
Multi-Scale Local Shape Analysis and Feature Selection in Machine Learning Applications,Oct-14,
Generalization Analysis for Game-Theoretic Machine Learning,Oct-14,
Ab-Initio Molecular Dynamics Acceleration Scheme with an Adaptive Machine Learning Framework,Oct-14,
Complexity Issues and Randomization Strategies in Frank-Wolfe Algorithms for Machine Learning,Oct-14,
Feature importance for machine learning redshifts applied to SDSS galaxies,Oct-14,
On Bootstrapping Machine Learning Performance Predictors via Analytical Models,Oct-14,
Gamma/hadron segregation for a ground based imaging atmospheric Cherenkov telescope using machine learning methods: Random Forest leads,Oct-14,
Recognizing molecular patterns by machine learning: an agnostic structural definition of the hydrogen bond,Oct-14,
Machine Learning of Coq Proof Guidance: First Experiments,Oct-14,
Bucking the Trend: Large-Scale Cost-Focused Active Learning for Statistical Machine Translation,Oct-14,
A Machine Learning Method to Infer Fundamental Stellar Parameters from Photometric Light Curves,Nov-14,
Solar Flare Prediction Using SDO/HMI Vector Magnetic Field Data with a Machine-Learning Algorithm,Nov-14,
Application Layer Intrusion Detection with Combination of Explicit-Rule- Based and Machine Learning Algorithms and Deployment in Cyber- Defence Program,Nov-14,
Association Rule Based Flexible Machine Learning Module for Embedded System Platforms like Android,Nov-14,
Influence Functions for Machine Learning: Nonparametric Estimators for Entropies Divergences and Mutual Informations,Nov-14,
Machine learning for discriminating quantum measurement trajectories and improving readout,Nov-14,
Introduction to astroML: Machine Learning for Astrophysics,Nov-14,
Differentially Private Algorithms for Empirical Machine Learning,Nov-14,
Accelerated Parallel Optimization Methods for Large Scale Machine Learning,Nov-14,
Learning interpretable models of phenotypes from whole genome sequences with the Set Covering Machine,Dec-14,
MLitB: Machine Learning in the Browser,Dec-14,
Machine Learning for Neuroimaging with Scikit-Learn,Dec-14,
From dependency to causality: a machine learning approach,Dec-14,
A Stable Multi-Scale Kernel for Topological Machine Learning,Dec-14,
Boltzmann-Machine Learning of Prior Distributions of Binarized Natural Images,Dec-14,
Differential Privacy and Machine Learning: a Survey and Review,Dec-14,
Fast simple and accurate handwritten digit classification by training shallow neural network classifiers with the 'extreme learning machine' algorithm,Dec-14,
A Taxonomy of Big Data for Optimal Predictive Machine Learning and Data Mining,Jan-15,
Photonic Delay Systems as Machine Learning Implementations,Jan-15,
Feature Selection based on Machine Learning in MRIs for Hippocampal Segmentation,Jan-15,
Nonlinear Model Predictive Control of A Gasoline HCCI Engine Using Extreme Learning Machines,Jan-15,
Stochastic Gradient Based Extreme Learning Machines For Online Learning of Advanced Combustion Engines,Jan-15,
Stochastic Local Interaction (SLI) Model: Interfacing Machine Learning and Geostatistics,Jan-15,
Information Theory and its Relation to Machine Learning,Jan-15,
Using machine learning to classify the diffuse interstellar bands,Jan-15,
Machine learning for transient discovery in Pan-STARRS1 difference imaging,Jan-15,
Constrained Extreme Learning Machines: A Study on Classification Cases,Jan-15,
Data augmentation for machine learning redshifts applied to SDSS galaxies,Jan-15,
Iterated Support Vector Machines for Distance Metric Learning,Feb-15,
Hyperparameter Search in Machine Learning,Feb-15,
Real World Applications of Machine Learning Techniques over Large Mobile Subscriber Datasets,Feb-15,
Proximal Algorithms in Statistics and Machine Learning,Feb-15,
A Predictive System for detection of Bankruptcy using Machine Learning techniques,Feb-15,
The Ladder: A Reliable Leaderboard for Machine Learning Competitions,Feb-15,
Automatic differentiation in machine learning: a survey,Feb-15,
On predictability of rare events leveraging social media: a machine learning perspective,Feb-15,
MILJS : Brand New JavaScript Libraries for Matrix Calculation and Machine Learning,Feb-15,
Non-linear Learning for Statistical Machine Translation,Mar-15,
A Review of Relational Machine Learning for Knowledge Graphs,Mar-15,
Automated detection and classification of cryptographic algorithms in binary programs through machine learning,Mar-15,
Representation Learning with Deep Extreme Learning Machines for Efficient Image Set Classification,Mar-15,
On the Intrinsic Limits to Representationally-Adaptive Machine-Learning,Mar-15,
apsis - Framework for Automated Optimization of Machine Learning Hyper Parameters,Mar-15,
L_1-regularized Boltzmann machine learning using majorizer minimization,Mar-15,
Big Data meets Quantum Chemistry Approximations: The $Δ$-Machine Learning Approach,Mar-15,
Efficient Machine Learning for Big Data: A Review,Mar-15,
Transferable atomic multipole machine learning models for small organic molecules,Mar-15,
Costing Generated Runtime Execution Plans for Large-Scale Machine Learning Programs,Mar-15,
Machine Learning Methods for Attack Detection in the Smart Grid,Mar-15,
A Machine Learning Approach to Predicting the Smoothed Complexity of Sorting Algorithms,Mar-15,
Analysis of Spectrum Occupancy Using Machine Learning Algorithms,Mar-15,
Crystal Structure Representations for Machine Learning Models of Formation Energies,Mar-15,
Anomaly detection for machine learning redshifts applied to SDSS galaxies,Mar-15,
Tensor machines for learning target-specific polynomial features,Apr-15,
Electronic Spectra from TDDFT and Machine Learning in Chemical Space,Apr-15,
U.S. stock market interaction network as learned by the Boltzmann Machine,Apr-15,
Classification with Extreme Learning Machine and Ensemble Algorithms Over Randomly Partitioned Data,Apr-15,
Bridging belief function theory to modern machine learning,Apr-15,
Performance Evaluation of Machine Learning Algorithms in Post-operative Life Expectancy in the Lung Cancer Patients,Apr-15,
Protocol for secure quantum machine learning at a distant place,Apr-15,
ADMM Algorithmic Regularization Paths for Sparse Statistical Machine Learning,Apr-15,
ASTROMLSKIT: A New Statistical Machine Learning Toolkit: A Platform for Data Analytics in Astronomy,Apr-15,
Machine Learning for Quantum Mechanical Properties of Atoms in Molecules,May-15,
Reinforcement Learning Neural Turing Machines - Revised,May-15,
A Comprehensive Study On The Applications Of Machine Learning For Diagnosis Of Cancer,May-15,
Evolutionary Cost-sensitive Extreme Learning Machine,May-15,
Graph Partitioning via Parallel Submodular Approximation to Accelerate Distributed Machine Learning,May-15,
Galaxy morphology - an unsupervised machine learning approach,May-15,
Asynchronous Parallel Stochastic Gradient Descent - A Numeric Core for Scalable Distributed Machine Learning Algorithms,May-15,
Machine Learning for Indoor Localization Using Mobile Phone-Based Sensors,May-15,
Domain Adaptation Extreme Learning Machines for Drift Compensation in E-nose Systems,May-15,
Electre Tri-Machine Learning Approach to the Record Linkage Problem,May-15,
Machine learning based data mining for Milky Way filamentary structures reconstruction,May-15,
MLlib: Machine Learning in Apache Spark,May-15,
Large-scale Machine Learning for Metagenomics Sequence Classification,May-15,
Machine Learning Based Auto-tuning for Enhanced OpenCL Performance Portability,Jun-15,
Peer Grading in a Course on Algorithms and Data Structures: Machine Learning Algorithms do not Improve over Simple Baselines,Jun-15,
Toward a generic representation of random variables for machine learning,Jun-15,
Multi-Objective Optimization for Self-Adjusting Weighted Gradient in Machine Learning Tasks,Jun-15,
Exploiting an Oracle that Reports AUC Scores in Machine Learning Contests,Jun-15,
Machine Learning Based Cooperative Relay Selection in Virtual MIMO,Jun-15,
Global Gene Expression Analysis Using Machine Learning Methods,Jun-15,
Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting,Jun-15,
Encog: Library of Interchangeable Machine Learning Models for Java and C#,Jun-15,
Reservoir Characterization: A Machine Learning Approach,Jun-15,
Big Data Analytics in Bioinformatics: A Machine Learning Perspective,Jun-15,
Graphs in machine learning: an introduction,Jun-15,
Benchmark of structured machine learning methods for microbial identification from mass-spectrometry data,Jun-15,
Benchmarking Machine Learning Technologies for Software Defect Detection,Jun-15,
Machine learning for many-body physics: efficient solution of dynamical mean-field theory,Jun-15,
ANNz2 - photometric redshift and probability distribution function estimation using machine learning,Jul-15,
Machine Learning based photometric redshifts for the KiDS ESO DR2 galaxies,Jul-15,
Twitter Sentiment Analysis: Lexicon Method Machine Learning Method and Their Combination,Jul-15,
Revisiting Large Scale Distributed Machine Learning,Jul-15,
AutoCompete: A Framework for Machine Learning Competition,Jul-15,
A supervised machine learning estimator for the non-linear matter power spectrum - SEMPS,Jul-15,
Fast machine-learning online optimization of ultra-cold-atom experiments,Jul-15,
The Mondrian Process for Machine Learning,Jul-15,
Structural Analysis of Criminal Network and Predicting Hidden Links using Machine Learning,Jul-15,
Blind quantum machine learning,Jul-15,
Integrated Inference and Learning of Neural Factors in Structural Support Vector Machines,Aug-15,
Adaptive Automation: Leveraging Machine Learning to Support Uninterrupted Automated Testing of Software Applications,Aug-15,
Parameter Database : Data-centric Synchronization for Scalable Machine Learning,Aug-15,
Sensitivity study using machine learning algorithms on simulated r-mode gravitational wave signals from newborn neutron stars,Aug-15,
Using a Machine Learning Approach to Implement and Evaluate Product Line Features,Aug-15,
Machine Learning Energies of 2 M Elpasolite (ABC$_2$D$_6$) Crystals,Aug-15,
ERBlox: Combining Matching Dependencies with Machine Learning for Entity Resolution,Aug-15,
A review of homomorphic encryption and software tools for encrypted statistical machine learning,Aug-15,
Encrypted statistical machine learning: new privacy preserving methods,Aug-15,
A Machine Learning Technique to Identify Transit Shaped Signals,Sep-15,
A Telescopic Binary Learning Machine for Training Neural Networks,Sep-15,
On-the-Fly Learning in a Perpetual Learning Machine,Sep-15,
Prediction model of band-gap for AX binary compounds by combination of density functional theory calculations and machine learning techniques,Sep-15,
Machine Learning Model of the Swift/BAT Trigger Algorithm for Long GRB Population Studies,Sep-15,
Machine Learning Methods to Analyze Arabidopsis Thaliana Plant Root Growth,Sep-15,
Predicting SLA Violations in Real Time using Online Machine Learning,Sep-15,
Use it or Lose it: Selective Memory and Forgetting in a Perpetual Learning Machine,Sep-15,
Autoclassification of the Variable 3XMM Sources Using the Random Forest Machine Learning Algorithm,Sep-15,
Dynamical Mass Measurements of Contaminated Galaxy Clusters Using Machine Learning,Sep-15,
Algorithmic statistics prediction and machine learning,Sep-15,
Adaptive Sequential Optimization with Applications to Machine Learning,Sep-15,
A 128 channel Extreme Learning Machine based Neural Decoder for Brain Machine Interfaces,Sep-15,
Learning Concept Embeddings with Combined Human-Machine Expertise,Sep-15,
Learning dynamic Boltzmann machines with spike-timing dependent plasticity,Sep-15,
Machine Learning for Machine Data from a CATI Network,Oct-15,
Balancing the Communication Load of Asynchronously Parallelized Machine Learning Algorithms,Oct-15,
Determination of the $WW$ polarization fractions in $pp \to W^\pm W^\pm jj$ using a deep machine learning technique,Oct-15,
New Optimisation Methods for Machine Learning,Oct-15,
Technical Report of Participation in Higgs Boson Machine Learning Challenge,Oct-15,
Insights from Machine-Learned Diet Success Prediction,Oct-15,
Application of Machine Learning Techniques in Human Activity Recognition,Oct-15,
Characterization of decohering quantum systems: Machine learning approach,Oct-15,
Machine Learning and Cosmological Simulations I: Semi-Analytical Models,Oct-15,
Machine learning for metagenomics: methods and tools,Oct-15,
Statistical Parsing by Machine Learning from a Classical Arabic Treebank,Oct-15,
Machine Learning Quantum Mechanics and Chemical Compound Space,Oct-15,
Machine Learning and Cosmological Simulations II: Hydrodynamical Simulations,Oct-15,
How to measure metallicity from five-band photometry with supervised machine learning algorithms,Oct-15,
Mixed Robust/Average Submodular Partitioning: Fast Algorithms Guarantees and Applications to Parallel Machine Learning and Multi-Label Image Segmentation,Oct-15,
Regional Active Contours based on Variational level sets and Machine Learning for Image Segmentation,Nov-15,
A survey on measuring indirect discrimination in machine learning,Nov-15,
